#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 04 22 06 999 99.0 99.0  0.97  5.26  3.81  70 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 22 36 999 99.0 99.0  1.02  5.26  3.75  66 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 23 06 999 99.0 99.0  0.96  4.35  3.75  53 9999.0 999.0  17.4 999.0 99.0 99.00
2016 01 04 23 36 999 99.0 99.0  1.00  5.26  3.72  68 9999.0 999.0  17.3 999.0 99.0 99.00
2016 01 05 00 06 999 99.0 99.0  1.10  4.35  3.60  51 9999.0 999.0  17.3 999.0 99.0 99.00
2016 01 05 00 36 999 99.0 99.0  1.16  4.55  3.71  53 9999.0 999.0  17.3 999.0 99.0 99.00
2016 01 05 01 06 999 99.0 99.0  1.21  4.17  3.76  37 9999.0 999.0  17.3 999.0 99.0 99.00
2016 01 05 01 36 999 99.0 99.0  1.23  4.35  3.84  44 9999.0 999.0  17.2 999.0 99.0 99.00
2016 01 05 02 06 999 99.0 99.0  1.13  4.55  3.88  46 9999.0 999.0  17.2 999.0 99.0 99.00
2016 01 05 02 36 999 99.0 99.0  1.08  4.55  3.73  51 9999.0 999.0  17.2 999.0 99.0 99.00
2016 01 05 03 36 999 99.0 99.0  1.03  4.55  3.69  54 9999.0 999.0  17.2 999.0 99.0 99.00
2016 01 05 04 06 999 99.0 99.0  1.04  4.35  3.59  51 9999.0 999.0  17.2 999.0 99.0 99.00
2016 01 05 04 36 999 99.0 99.0  1.06  4.35  3.65  56 9999.0 999.0  17.2 999.0 99.0 99.00
2016 01 05 05 06 999 99.0 99.0  1.07  4.76  3.67  57 9999.0 999.0  17.2 999.0 99.0 99.00
2016 01 05 05 36 999 99.0 99.0  1.10  4.35  3.72  56 9999.0 999.0  17.2 999.0 99.0 99.00
2016 01 05 06 06 999 99.0 99.0  1.10  4.55  3.78  56 9999.0 999.0  17.2 999.0 99.0 99.00
2016 01 05 06 36 999 99.0 99.0  1.14  4.55  3.78  57 9999.0 999.0  17.2 999.0 99.0 99.00
2016 01 05 07 06 999 99.0 99.0  1.11  4.76  3.80  53 9999.0 999.0  17.1 999.0 99.0 99.00
2016 01 05 07 36 999 99.0 99.0  1.17  4.17  3.78  49 9999.0 999.0  17.1 999.0 99.0 99.00
2016 01 05 08 06 999 99.0 99.0  1.11  4.35  3.74  54 9999.0 999.0  17.1 999.0 99.0 99.00
2016 01 05 08 36 999 99.0 99.0  1.18  5.26  3.97  68 9999.0 999.0  17.0 999.0 99.0 99.00
2016 01 05 09 06 999 99.0 99.0  1.33  4.55  3.90  57 9999.0 999.0  16.9 999.0 99.0 99.00
2016 01 05 09 36 999 99.0 99.0  1.30  5.00  4.01  60 9999.0 999.0  16.9 999.0 99.0 99.00
2016 01 05 10 06 999 99.0 99.0  1.29  4.35  3.90  57 9999.0 999.0  16.9 999.0 99.0 99.00
2016 01 05 10 36 999 99.0 99.0  1.27  4.76  3.88  57 9999.0 999.0  16.8 999.0 99.0 99.00
2016 01 05 11 06 999 99.0 99.0  1.22  4.35  3.83  54 9999.0 999.0  16.8 999.0 99.0 99.00
2016 01 05 11 36 999 99.0 99.0  1.25  4.76  3.92  60 9999.0 999.0  16.7 999.0 99.0 99.00
2016 01 05 12 06 999 99.0 99.0  1.27  4.76  3.89  60 9999.0 999.0  16.7 999.0 99.0 99.00
2016 01 05 12 36 999 99.0 99.0  1.32  5.00  4.00  63 9999.0 999.0  16.7 999.0 99.0 99.00
2016 01 05 13 06 999 99.0 99.0  1.19  5.00  3.89  61 9999.0 999.0  16.6 999.0 99.0 99.00
2016 01 05 13 36 999 99.0 99.0  1.28  5.00  4.01  64 9999.0 999.0  16.5 999.0 99.0 99.00
2016 01 05 14 06 999 99.0 99.0  1.32  5.26  4.09  63 9999.0 999.0  16.5 999.0 99.0 99.00
2016 01 05 14 36 999 99.0 99.0  1.27  4.35  4.10  56 9999.0 999.0  16.5 999.0 99.0 99.00
2016 01 05 15 06 999 99.0 99.0  1.27  5.00  4.25  63 9999.0 999.0  16.4 999.0 99.0 99.00
2016 01 05 15 36 999 99.0 99.0  1.12  5.00  4.14  60 9999.0 999.0  16.4 999.0 99.0 99.00
2016 01 05 16 06 999 99.0 99.0  1.16  5.26  4.22  67 9999.0 999.0  16.4 999.0 99.0 99.00
