YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP
2018,1,10,11,59,1.07,11.11,4.2,137,7.7
2018,1,10,12,29,1.13,4.76,4.29,78,7.7
2018,1,10,12,59,1.18,5,4.54,82,7.8
2018,1,10,13,29,1.19,5,4.45,81,7.8
2018,1,10,13,59,1.17,5.26,4.43,80,7.8
2018,1,10,14,29,1.21,5.56,4.52,88,7.8
2018,1,10,14,59,1.2,5.26,4.44,84,7.8
2018,1,10,15,29,1.29,5.56,4.73,89,7.8
2018,1,10,16,29,1.26,5.88,4.66,94,7.9
2018,1,10,16,59,1.29,5.56,4.84,87,8
2018,1,10,17,29,1.28,5.56,4.94,92,8
2018,1,10,17,59,1.26,9.88,5,137,8
2018,1,10,18,29,1.25,5.88,4.99,95,8
2018,1,10,18,59,1.27,5.88,5.03,104,8
2018,1,10,19,29,1.18,5,4.99,85,8
2018,1,10,19,59,1.14,5.26,4.93,95,8
2018,1,10,20,29,1.16,5.88,5.02,116,8.1
2018,1,10,20,59,1.19,5.88,5.05,127,8.1
2018,1,10,21,29,1.22,5.26,5.05,102,8
2018,1,10,21,59,1.2,5.26,4.99,118,8
2018,1,10,22,29,1.22,6.25,5.04,129,8
2018,1,10,22,59,1.23,5.56,5.21,118,8
2018,1,10,23,29,1.22,9.88,5.15,133,8
2018,1,10,23,59,1.24,5.88,5.09,126,8
2018,1,11,0,29,1.21,5.26,4.98,120,8
2018,1,11,0,59,1.18,5.88,5.16,132,8
2018,1,11,1,29,1.22,7.14,5.17,147,7.9
2018,1,11,1,59,1.17,5.88,5.07,136,7.9
2018,1,11,2,29,1.26,5.88,5.27,134,7.9
2018,1,11,3,29,1.24,5.88,5.48,127,7.9
2018,1,11,3,59,1.3,6.25,5.41,132,8
2018,1,11,4,29,1.38,6.25,5.54,136,8
2018,1,11,4,59,1.38,6.25,5.5,136,8
2018,1,11,5,29,1.39,6.25,5.56,134,8
2018,1,11,5,59,1.45,6.25,5.59,136,8
2018,1,11,6,29,1.52,6.25,5.54,133,8.1
2018,1,11,7,29,1.57,6.25,5.58,134,8.1
2018,1,11,7,59,1.56,6.67,5.8,133,8.1
2018,1,11,8,29,1.53,6.67,5.63,136,8.1
2018,1,11,8,59,1.59,7.14,5.74,143,8.1
2018,1,11,9,29,1.6,7.69,5.82,141,8.1
2018,1,11,9,59,1.59,7.69,5.81,139,8.1
2018,1,11,10,29,1.56,7.14,5.77,143,8.1
2018,1,11,10,59,1.57,8.33,5.86,144,8.1
2018,1,11,11,29,1.74,7.14,6.1,136,8.1
2018,1,11,11,59,1.51,7.69,5.81,137,8.1
2018,1,11,12,29,1.57,7.69,5.88,141,8.1
2018,1,11,12,59,1.49,7.69,5.92,140,8.1
2018,1,11,13,29,1.48,7.14,5.75,133,8
2018,1,11,13,59,1.53,7.69,5.87,141,8
2018,1,11,14,29,1.44,7.14,5.71,134,8
2018,1,11,14,59,1.54,7.14,5.8,134,8
2018,1,11,15,29,1.58,8.33,5.87,136,8
