#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2025 11 28 17 56  0.5  0.1 11.1  0.4  3.3 ESE  NE        N/A  3.1  35
2025 11 28 17 26  0.5  0.1 10.5  0.5  3.1 ESE NNE        N/A  3.2  31
2025 11 28 16 56  0.6  0.1 10.5  0.6  3.5  SE  NE        N/A  3.1  39
2025 11 28 16 26  0.6  0.1 10.5  0.6  3.6  SE  NE        N/A  3.1  36
2025 11 28 15 56  0.7  0.1 11.1  0.7  3.6 ENE NNE        N/A  3.1  31
2025 11 28 15 26  0.7  0.1 11.1  0.7  3.9   E  NE        N/A  3.2  39
2025 11 28 14 56  0.8  0.1 10.5  0.8  3.7   E NNE VERY_STEEP  3.3  31
2025 11 28 14 26  0.8  0.1 10.5  0.8  4.0 ENE  NE        N/A  3.2  36
2025 11 28 13 56  0.9  0.1 10.5  0.8  3.9 ESE  NE VERY_STEEP  3.3  34
2025 11 28 13 26  0.8  0.1 10.5  0.8  3.7   E NNE VERY_STEEP  3.3  28
2025 11 28 12 56  0.8  0.1 10.5  0.8  3.5 ESE NNE        N/A  3.0  27
2025 11 28 12 26  0.7  0.1 10.5  0.7  3.3  SE NNE        N/A  2.9  28
2025 11 28 11 56  0.6  0.1 10.5  0.6  3.1 ESE NNE        N/A  2.9  28
2025 11 28 11 26  0.6  0.1 10.5  0.6  3.1   E NNE        N/A  2.9  25
2025 11 28 10 56  0.6  0.1 10.5  0.6  2.9 ESE   N        N/A  2.9  11
2025 11 28 10 26  0.6  0.1 11.1  0.6  3.1 ESE NNE        N/A  2.9  14
2025 11 28 09 56  0.5  0.1 11.1  0.5  3.1 ESE   N        N/A  2.9   4
2025 11 28 09 26  0.6  0.1 11.1  0.6  2.9   E   N        N/A  2.8 357
2025 11 28 08 56  0.6  0.1 10.5  0.6  2.9 ESE NNW        N/A  2.8 339
2025 11 28 08 26  0.6  0.1 10.5  0.6  2.8 ESE NNW        N/A  2.8 342
2025 11 28 07 56  0.6  0.1 10.5  0.5  2.6 ESE NNW        N/A  2.7 342
2025 11 28 07 26  0.5  0.1 10.5  0.5  2.4 ESE   N        N/A  2.8 356
2025 11 28 06 56  0.5  0.1 10.5  0.5  2.9 ESE NNE        N/A  2.9  20
2025 11 28 06 26  0.5  0.1 10.5  0.5  2.9   E NNE        N/A  3.0  17
2025 11 28 05 56  0.6  0.1 11.1  0.6  3.1 ESE NNE        N/A  3.0  13
2025 11 28 05 26  0.6  0.1 10.5  0.6  3.2  SE NNE        N/A  3.0  14
2025 11 28 04 56  0.7  0.1 10.5  0.7  3.5  SE   N        N/A  3.0   7
2025 11 28 04 26  0.6  0.1 10.5  0.6  3.1 ESE   N        N/A  3.0 358
2025 11 28 03 56  0.7  0.1 11.1  0.6  3.0 ESE   N        N/A  3.0 358
2025 11 28 03 26  0.6  0.1 10.5  0.6  2.8 ESE   N        N/A  3.1 354
2025 11 28 02 56  0.6  0.1 10.5  0.6  3.0  SE NNW        N/A  3.1 344
2025 11 28 02 26  0.6  0.1 10.5  0.6  2.9 ESE NNW        N/A  3.1 339
